n,repetition,simulation_wall_s
1,0,0.010265999999999997
4,2,0.040345900000000046
4,1,0.0442416000000001
1,2,0.01137329999999992
4,0,0.054430199999999984
12,1,0.14415499999999992
12,2,0.1417729000000001
1,1,0.013092300000000057
12,0,0.124023
