fee,n_scenarios,time_limit_s,n_days,n_training_batches,n_scenario_streams,mean_diff,mean_learned,mean_comparator,percent_diff,ci95_low,ci95_high,one_sided_95_upper,one_sided_p,superiority
40,2,5,30,5,3,33.02653750560262,1489.1358404343334,1456.1093029287308,2.268135876831157,25.563845438420014,41.594089162071896,40.14365352093455,1.0,False
40,8,5,30,5,3,-191.12856407884374,1489.1358404343334,1680.2644045131772,-11.3749100180587,-207.70779256684153,-175.64205354056588,-177.8310159853232,9.999000099990002e-05,True
40,16,5,30,5,3,-218.94971221180117,1489.1358404343334,1708.0855526461346,-12.818427734641764,-239.1357632374775,-200.29015296673896,-203.17106284390422,9.999000099990002e-05,True
80,16,5,30,1,3,-699.7666967577097,1769.7049941859927,2469.4716909437025,-28.33669644094181,-729.470127005478,-669.8760665662328,-674.5698479160225,9.999000099990002e-05,True
80,16,15,30,1,3,-572.4072041528793,1769.7049941859927,2342.112198338872,-24.43978578647323,-599.658436640798,-542.9420176679703,-547.7478168311198,9.999000099990002e-05,True
