fee,method,n_days,mean_common_cost,mean_bill,mean_capacity_fee,mean_degradation_cost,mean_terminal_penalty,mean_terminal_soc_dev,mean_latency_mean_ms,mean_latency_p95_ms,mean_soc_violations,mean_projection_events,mean_reflection_events
20,offline_value_policy,30,1258.2264736092236,888.932566639418,304.0000000000001,65.05069876528222,0.2432082045235164,0.004734889699201822,3.1028499652777324,3.824829166666636,0.0,0.0,0.0
20,no_storage,30,1315.2646297894687,879.9312964561339,435.33333333333474,0.0,0.0,0.0,0.00025423611111190697,0.0005116666666878563,0.0,0.0,0.0
20,validation_tuned_price_rule,30,1315.264629789469,879.9312964561337,435.33333333333474,0.0,0.0,0.0,0.0003428472222230219,0.0007291666667648874,0.0,0.0,0.0
20,convex_envelope_mpc,30,1315.2291899276936,879.7395342561637,435.3333333333347,0.08841784691949764,0.0679044912755688,0.0024819044748004724,60.12260288194951,123.65458249999317,0.0,0.0,0.0
20,deterministic_exact_band_miqp,30,1247.9635586660347,887.2865369092447,266.49999999999994,91.73078136604937,2.44624039074113,0.012336604455551792,416.13442371527765,1133.5953075000025,0.0,0.0,0.0
20,stochastic_two_stage_exact_band_miqp,30,1243.529299557894,887.1737348953037,261.33333333333326,94.18835745573602,0.8338738735217895,0.00729631070326211,1174.4747304166679,2938.9656208333286,0.0,0.0,0.0
40,offline_value_policy,30,1489.1358404343332,897.1459351249416,436.5333333333329,155.0843040393892,0.372267936669749,0.004106214900689467,3.0909446458333503,3.5448581666663994,0.0,0.0,0.0
40,no_storage,30,1750.5979631228038,879.9312964561337,870.6666666666695,0.0,0.0,0.0,0.0006165625000004789,0.001143333333353258,0.0,0.0,0.0
40,validation_tuned_price_rule,30,1750.5979631228038,879.9312964561337,870.6666666666695,0.0,0.0,0.0,0.0002107291666690449,0.0002758333333741092,0.0,0.0,0.0
40,convex_envelope_mpc,30,1750.574271202591,879.6937277899506,870.6666666666695,0.10981367859290657,0.1040630673777561,0.0030824892234908976,53.94563843749784,113.33859916665006,0.0,0.0,0.0
40,deterministic_exact_band_miqp,30,1464.8109066014536,905.224162285387,350.66666666666634,204.72296530799224,4.197112341407751,0.019383564771589545,1047.1338010763877,2499.991109999991,0.0,0.0,0.0
40,stochastic_two_stage_exact_band_miqp,30,1456.029470018559,908.0647764228744,318.3333333333332,227.892921319297,1.7384389430547116,0.01037316569462757,1933.292123124999,4493.986069166671,0.0,0.0,0.0
80,offline_value_policy,30,1769.7049941859927,900.466945708529,603.3333333333333,265.48958891559687,0.4151262285334995,0.0036575977753367478,3.0339887500000082,3.4356958333334,0.0,0.0,0.0
80,no_storage,30,2621.264629789473,879.9312964561339,1741.333333333339,0.0,0.0,0.0,0.0002628819444433109,0.0004266666666992898,0.0,0.0,0.0
80,validation_tuned_price_rule,30,2621.264629789473,879.9312964561337,1741.333333333339,0.0,0.0,0.0,0.00019059027778011657,0.0002341666667312244,0.0,0.0,0.0
80,convex_envelope_mpc,30,2621.288731953909,879.6029989112637,1741.333333333339,0.1526047480747825,0.19979496123176985,0.004283642050707898,51.3433753472242,110.522095833259,0.0,0.0,0.0
80,deterministic_exact_band_miqp,30,1782.2062300664372,915.1387395506486,637.9999999999997,223.37875273734534,5.68873777844357,0.022126369452924878,1701.3055489930566,4425.28635583332,0.0,0.0,0.0
80,stochastic_two_stage_exact_band_miqp,30,1746.1032670510988,914.0498635545122,583.3333333333333,245.34424728692892,3.3758228763242126,0.01350095103452895,2759.1712826041667,4989.287984166646,0.0,0.0,0.0
