fee,batch,n_days,mean_learned_minus_reference,mean_learned_cost,mean_reference_cost
20,0,30,-37.522982764507425,1258.2264736092236,1295.7494563737316
40,0,30,-189.7092119923101,1501.1265959986915,1690.835807991002
40,1,30,-204.57775856207394,1486.258049428928,1690.835807991002
40,2,30,-205.74381490785314,1485.0919930831485,1690.835807991002
40,3,30,-203.6650074576265,1487.170800533375,1690.835807991002
40,4,30,-204.80404486347697,1486.0317631275248,1690.835807991002
80,0,30,-576.5320941190772,1769.7049941859927,2346.23708830507
