fee,n_scenarios,time_limit_s,n_streams,n_days_per_stream,between_stream_cost_sd,mean_common_cost,mean_bill,mean_capacity_fee,mean_degradation_cost,mean_terminal_penalty,mean_throughput_kwh,mean_exceed_hours,mean_terminal_soc_dev,mean_latency_mean_ms,mean_latency_p95_ms
40,2,5,3,30,0.2857024523010237,1456.1093029287308,907.8658018149345,319.99999999999983,226.1802841852926,2.0632169285036657,6031.474244941136,7.999999999999997,0.011186123852962505,1953.0269941319445,4467.625506666695
40,8,5,3,30,2.5215659093571716,1680.2644045131772,892.7274135053702,668.5555555555563,117.28171928217344,1.6997161700771017,3127.5125141912918,16.71388888888891,0.009527870530448169,4492.89547210648,5006.408307777801
40,16,5,3,30,0.19887083037273812,1708.0855526461346,886.5563838317712,760.444444444446,59.97508816168674,1.109636208230784,1599.335684311646,19.01111111111111,0.007539451870726703,4873.409891400463,5007.691704722246
80,16,5,3,30,2.113623105423575,2469.4716909437025,886.6474350484905,1521.777777777781,59.19960143476264,1.8468766826685914,1578.6560382603373,19.02222222222222,0.008718177639601974,4857.241893344905,5009.089339444487
80,16,15,3,30,6.19706737958285,2342.112198338872,896.5738545891796,1318.2222222222235,125.1500899364641,2.166031591004767,3337.3357316390416,16.4777777777778,0.009903107628717997,14525.731067106495,15014.435995833323
