fee,batch,selected_kind,selected_seed,selected_validation_mean_common_cost,selected_test_mean_common_cost
20,0,trained_policy,1,1060.1256350386827,1258.2264736092236
40,0,trained_policy,2,1303.9358200800455,1501.1265959986915
40,1,trained_policy,6,1298.372786438439,1486.258049428928
40,2,trained_policy,11,1296.3447960000478,1485.0919930831485
40,3,trained_policy,16,1306.8996362061619,1487.170800533375
40,4,trained_policy,20,1298.701157376334,1486.0317631275248
80,0,trained_policy,2,1606.1354235645586,1769.7049941859927
