fee,method,n_solves,incumbent_fraction,finite_gap_fraction,target_gap_fraction,target_gap_fraction_scope,target_gap_fraction_all_calls,mean_gap,max_gap,mean_solve_s,p95_solve_s,time_limit_fraction
20,convex_envelope_mpc,2880,1.0,1.0,1.0,conditional on an incumbent and finite primal/dual bounds,1.0,0.007316467833635776,0.009999866995519786,0.05117735517360747,0.11248409500014984,0.0
20,deterministic_exact_band_miqp,2880,1.0,1.0,1.0,conditional on an incumbent and finite primal/dual bounds,1.0,0.002036146323076889,0.009997073546194222,0.40796213045138896,1.1626510100000356,0.0
20,stochastic_two_stage_exact_band_miqp,2880,1.0,1.0,0.9993055555555556,conditional on an incumbent and finite primal/dual bounds,0.9993055555555556,0.004959865397571423,9.335082293022467,1.1579408777430527,2.9627299850000894,0.0024305555555555556
40,convex_envelope_mpc,2880,1.0,1.0,1.0,conditional on an incumbent and finite primal/dual bounds,1.0,0.006622383357975445,0.009998861476517623,0.04702134458333092,0.10199861999990388,0.0
40,deterministic_exact_band_miqp,2880,1.0,1.0,0.9986111111111111,conditional on an incumbent and finite primal/dual bounds,0.9986111111111111,0.0026864368371384835,0.014526891888520788,1.038843624166666,2.543667384999984,0.001388888888888889
40,stochastic_two_stage_exact_band_miqp,2880,1.0,1.0,0.9840277777777777,conditional on an incumbent and finite primal/dual bounds,0.9840277777777777,0.003893491500350282,0.15895275587582886,1.9179748869444457,4.498566134999998,0.07430555555555556
80,convex_envelope_mpc,2880,1.0,1.0,1.0,conditional on an incumbent and finite primal/dual bounds,1.0,0.006889072025064719,0.009999618393146998,0.04506067024305291,0.10238541499998063,0.0
80,deterministic_exact_band_miqp,2880,1.0,1.0,0.8954861111111111,conditional on an incumbent and finite primal/dual bounds,0.8954861111111111,0.0066002939372236955,0.026227381749431775,1.6930041964236138,4.686683905000169,0.10520833333333333
80,stochastic_two_stage_exact_band_miqp,2880,1.0,1.0,0.7652777777777777,conditional on an incumbent and finite primal/dual bounds,0.7652777777777777,0.008424321842981912,0.047641177580684695,2.744504518749988,4.9807247049998065,0.2777777777777778
