fee,n_scenarios,time_limit_s,n_streams,n_solves,incumbent_fraction,finite_gap_fraction,mean_gap,p95_gap,mean_solve_s,p95_solve_s,time_limit_fraction
40,2,5,3,8640,1.0,1.0,0.003819134280400944,0.009686813797746725,1.9369694647222206,4.516129780000204,0.07824074074074074
40,8,5,3,8640,1.0,0.9638888888888889,8.213564106136314,22.083733659136918,4.446140111238426,4.984136384999829,0.7890046296296296
40,16,5,3,8640,1.0,0.49363425925925924,6.14813412206128,19.59674310540409,4.790931144756942,4.982579955000165,0.9662037037037037
80,16,5,3,8640,1.0,0.4846064814814815,8.974957267251021,25.782923456325225,4.769492513784723,4.982058004999817,0.9681712962962963
80,16,15,3,8640,1.0,0.9768518518518519,11.670030773571066,27.46662072621843,14.428760579328708,14.976915034999887,0.9636574074074075
