fee,batch,n_restarts,training_wall_s,value_fit_wall_s,validation_controller_s,total_measured_offline_s,model_loading_s
20,0,5,1188.0,1117.6270785331726,180.63079490000007,1368.7280619000003,0.0972669999999999
40,0,5,1222.0,1147.2876744270325,181.21273770000028,1403.2153235,0.0025858
40,1,5,1225.0,1152.996836423874,180.76085229999993,1405.7634191999998,0.0025669000000001
40,2,5,1215.0,1142.2145879268646,181.23518800000045,1396.2377432000005,0.0025551999999999
40,3,5,1262.0,1184.0620484352112,177.0122246000002,1439.0148378000001,0.0026132
40,4,5,1282.0,1199.8300907611847,177.90719599999943,1459.9096997999995,0.0025037999999999
80,0,5,1219.0,1145.6499996185303,178.7489045999996,1397.7515071999997,0.0026026000000001
