fee,comparator,n_days,n_training_batches,mean_diff,mean_learned,mean_comparator,percent_diff,ci95_low,ci95_high,one_sided_95_upper,one_sided_p,superiority,holm_p
20,reference_value_one_step,30,1,-37.522982764507425,1258.2264736092236,1295.7494563737316,-2.89585170805464,-44.04641280170216,-30.474547439531182,-31.575647193082435,9.999000099990002e-05,True,0.00029997000299970003
40,reference_value_one_step,30,5,-201.69996755666813,1489.1358404343334,1690.835807991002,-11.929009700612012,-213.39696994061802,-190.38300100581566,-192.03997624695626,9.999000099990002e-05,True,0.00029997000299970003
80,reference_value_one_step,30,1,-576.5320941190772,1769.7049941859927,2346.23708830507,-24.572627250367358,-604.8669040977854,-544.6997092623924,-549.6899891749588,9.999000099990002e-05,True,0.00029997000299970003
