threshold_kw,fee_per_hour,smoothing_width_kw,n_training_restarts,n_selected_batches,n_days,mean_learned_cost,mean_deterministic_cost,mean_no_storage_cost,learned_minus_deterministic,learned_minus_no_storage,mean_terminal_penalty,mean_smooth_minus_hard_cost,mean_exact_threshold_hours,mean_near_5kw_hours,mean_near_10kw_hours,mean_near_20kw_hours
250,20,5,1,1,30,1286.9484757414791,1278.8947974172202,1329.264629789469,8.053678324258943,-42.31615404798962,0.07622048674836718,62.43448383042187,6.216666666666665,6.249999999999998,6.299999999999998,6.391666666666665
250,20,10,1,1,30,1289.498960045397,1278.8947974172202,1329.264629789469,10.604162628177061,-39.7656697440715,0.06387582495306011,58.043549749162636,5.758333333333331,5.766666666666665,5.774999999999998,5.858333333333332
250,20,20,1,1,30,1293.433274209007,1278.8947974172202,1329.264629789469,14.538476791787089,-35.83135558046148,0.1568877454524212,58.685064757689325,5.791666666666665,5.808333333333332,5.833333333333331,5.8666666666666645
250,40,5,1,1,30,1566.365320635735,1538.8701435751407,1778.5979631228038,27.495177060594372,-212.23264248706872,0.025247184682729167,194.08350855563012,9.683333333333335,9.691666666666668,9.758333333333335,9.89166666666667
250,40,10,1,1,30,1566.4100626617053,1538.8701435751407,1778.5979631228038,27.539919086564787,-212.18790046109825,0.24076940352972023,192.8436645290876,9.558333333333334,9.583333333333336,9.65,9.691666666666668
250,40,20,1,1,30,1557.5866869806184,1538.8701435751407,1778.5979631228038,18.716543405477974,-221.01127614218504,0.23776703867577656,205.0573940336548,9.94166666666667,9.983333333333338,10.06666666666667,10.21666666666667
250,80,5,1,1,30,1943.3319376049774,1914.4203223955112,2677.264629789473,28.911615209466845,-733.9326921844956,0.6691211700145517,543.672134303827,13.591666666666693,13.600000000000026,13.600000000000026,13.60833333333336
250,80,10,1,1,30,1952.642768238016,1914.4203223955112,2677.264629789473,38.22244584250468,-724.6218615514578,0.6705296313868878,526.9577988655939,13.11666666666669,13.125000000000023,13.19166666666669,13.24166666666669
250,80,20,1,1,30,1930.6561256107946,1914.4203223955112,2677.264629789473,16.2358032152835,-746.6085041786789,1.286896676227213,571.2386790551107,14.283333333333363,14.283333333333363,14.283333333333363,14.283333333333363
300,20,5,1,1,30,1255.8909631056133,1247.9635586660347,1315.264629789469,7.9274044395781065,-59.37366668385542,0.24288560309073876,72.52897775362531,7.216666666666662,7.216666666666662,7.324999999999995,7.508333333333329
300,20,10,5,1,30,1258.2264736092236,1247.9635586660347,1315.264629789469,10.262914943188651,-57.03815618024488,0.2432082045235164,68.77931070568681,6.724999999999995,6.741666666666662,6.866666666666663,6.991666666666663
300,20,20,1,1,30,1257.4530780650446,1247.9635586660347,1315.264629789469,9.489519399009547,-57.81155172442397,0.23997918575242183,69.7747190084933,6.674999999999997,6.674999999999997,6.774999999999998,6.958333333333331
300,40,5,1,1,30,1493.7813347088143,1464.8109066014536,1750.5979631228038,28.970428107360636,-256.81662841398935,0.39549592120863275,235.91775619409793,11.79166666666668,11.800000000000013,11.84166666666668,11.900000000000013
