regime,method,n_days,n_selected_batches,n_fallback_batches,mean_common_cost,mean_terminal_penalty,mean_latency_ms
winter_weekday,offline_value_policy,30,5.0,0.0,1489.1358404343332,0.372267936669749,3.0909446458333503
winter_weekday,no_storage,30,,,1750.5979631228038,0.0,0.0006165625000004789
winter_weekday,validation_tuned_price_rule,30,,,1750.5979631228038,0.0,0.0002107291666690449
winter_weekday,convex_envelope_mpc,30,,,1750.574271202591,0.1040630673777561,53.94563843749784
winter_weekday,deterministic_exact_band_miqp,30,,,1464.8109066014536,4.197112341407751,1047.1338010763877
winter_weekday,stochastic_two_stage_exact_band_miqp,30,,,1456.029470018559,1.7384389430547116,1933.292123124999
spring_weekday,offline_value_policy,30,1.0,0.0,1008.3853115678862,0.19533303110269618,3.0969672222222324
spring_weekday,no_storage,30,,,1342.5797532979157,0.0,0.00033336805555594777
spring_weekday,validation_tuned_price_rule,30,,,1342.5797532979157,0.0,0.0001929513888898307
spring_weekday,convex_envelope_mpc,30,,,1342.6587515092676,0.08565675034205715,104.34429385416634
spring_weekday,deterministic_exact_band_miqp,30,,,996.0987963092391,3.432149183414565,1112.326157256945
spring_weekday,stochastic_two_stage_exact_band_miqp,30,,,990.9293664561875,2.651033658860111,1990.471225069445
summer_weekday,offline_value_policy,30,1.0,0.0,951.747418352124,0.08027997235698692,3.025505381944406
summer_weekday,no_storage,30,,,1232.1791878246904,0.0,0.00023788192796322016
summer_weekday,validation_tuned_price_rule,30,,,1232.1791878246904,0.0,0.00019673611111449394
summer_weekday,convex_envelope_mpc,30,,,1232.2697255335274,0.06981801124074677,77.98767715278119
summer_weekday,deterministic_exact_band_miqp,30,,,933.4177022057654,5.23657586815585,908.0899466319514
summer_weekday,stochastic_two_stage_exact_band_miqp,30,,,930.8769075730477,2.2905772882725017,1852.973838541661
autumn_weekday,offline_value_policy,30,1.0,0.0,1049.6516498470742,0.0018469769213815366,3.1239609722222927
autumn_weekday,no_storage,30,,,1345.4235273882282,0.0,0.00025072917474567983
autumn_weekday,validation_tuned_price_rule,30,,,1345.4235273882282,0.0,0.0002077777777745007
autumn_weekday,convex_envelope_mpc,30,,,1345.5052861623167,0.08024122086204273,72.64445743054277
autumn_weekday,deterministic_exact_band_miqp,30,,,1001.7853326801804,3.829322246316358,838.3676117361101
autumn_weekday,stochastic_two_stage_exact_band_miqp,30,,,995.2533014041463,2.5258802386006325,1873.6713715277788
