fee,online_comparator,learned_minus_online_eur_per_day,mean_offline_s_per_complete_batch,online_compute_saved_s_per_day,premium_offset_threshold_eur_per_compute_hour,compute_equivalent_break_even_days
20,stochastic_two_stage_exact_band_miqp,14.697174051329512,1368.7280619000003,112.45170052333344,470.51157375612644,12.171697320095152
40,stochastic_two_stage_exact_band_miqp,33.10637041577411,1420.8282047,185.2993131339999,643.1914478312135,7.66774674265804
80,stochastic_two_stage_exact_band_miqp,23.601727134893963,1397.7515071999997,264.58918021,321.1250649712207,5.282723602267589
