method,time_limit_s,n_days,mean_common_cost,mean_latency_ms,incumbent_fraction,finite_gap_fraction,mean_gap,time_limit_fraction,p95_solve_s,cost_change_vs_5s
deterministic_exact_band_miqp,5,30,1782.2062300664372,1701.3055489930566,1.0,1.0,0.0066002939372236955,0.10520833333333333,4.686683905000169,0.0
deterministic_exact_band_miqp,15,30,1782.9293990441306,2345.8662190625023,1.0,1.0,0.006367158030928547,0.05486111111111111,14.13703605999999,0.7231689776933763
stochastic_two_stage_exact_band_miqp,5,30,1746.1032670510988,2759.1712826041667,1.0,1.0,0.008424321842981912,0.2777777777777778,4.9807247049998065,0.0
stochastic_two_stage_exact_band_miqp,15,30,1744.7428383832353,4497.00850913195,1.0,1.0,0.007635112274868267,0.13159722222222223,14.799326700000119,-1.3604286678635162
