fee,method,cost,latency_ms,baseline
20,convex_envelope_mpc,1315.2291899276936,60.12260288194951,1315.2646297894687
20,deterministic_exact_band_miqp,1247.9635586660347,416.1344237152777,1315.2646297894687
20,stochastic_two_stage_exact_band_miqp,1243.529299557894,1174.474730416668,1315.2646297894687
20,offline_value_policy,1258.2264736092236,3.1028499652777324,1315.2646297894687
20,tariff_rule,1271.4585621465694,0.0542470833331205,1315.2646297894687
20,selected_hinge,1315.229189927707,63.23815430555363,1315.2646297894687
40,convex_envelope_mpc,1750.574271202591,53.94563843749784,1750.5979631228038
40,deterministic_exact_band_miqp,1464.8109066014536,1047.1338010763875,1750.5979631228038
40,stochastic_two_stage_exact_band_miqp,1456.029470018559,1933.292123124999,1750.5979631228038
40,offline_value_policy,1489.1358404343332,3.0909446458333503,1750.5979631228038
40,tariff_rule,1458.426763013634,0.053102604166587,1750.5979631228038
40,selected_hinge,1750.5742712043807,63.90331624999261,1750.5979631228038
80,convex_envelope_mpc,2621.288731953909,51.3433753472242,2621.264629789473
80,deterministic_exact_band_miqp,1782.2062300664372,1701.3055489930566,2621.264629789473
80,stochastic_two_stage_exact_band_miqp,1746.1032670510988,2759.1712826041667,2621.264629789473
80,offline_value_policy,1769.7049941859927,3.033988750000008,2621.264629789473
80,tariff_rule,1744.6650612999629,0.0567669791667175,2621.264629789473
80,selected_hinge,2623.8213763906465,70.65520843749798,2621.264629789473
