method,case_id,path_id,initial_soc,bill,band_fee,degradation,terminal,cost,exceed_hours,terminal_soc,max_action_violation_kw
miqp,1,1,0.5,1489.3354110040532,590.0,206.06669584588812,0.7988618038148627,2286.2009686537563,14.75,0.4914073649556837,0.0
miqp,2,2,0.5,843.2513829009151,320.0,255.25516091111626,0.008661270362546467,1418.515205082394,8.0,0.4991052919688064,0.0
miqp,3,3,0.5,687.4771508633079,330.0,235.34844518421016,0.005563738487595799,1252.8311597860056,8.25,0.5007170903734571,0.0
miqp,0,0,0.5,368.56944586600713,150.0,127.7775106033977,0.1277067962405743,646.4746632656453,3.75,0.4965644399573453,0.0
miqp,5,1,0.2,1508.9689389274424,590.0,222.2057705813966,0.361017810800025,2321.5357273196396,14.75,0.4942236320158908,0.0
miqp,4,0,0.2,384.33032034278835,160.0,135.21390859824203,0.12770679649512723,679.6719357375255,4.0,0.4965644399539213,0.0
miqp,6,2,0.2,864.0312375760778,340.0,258.4016658281352,0.008661270362545392,1462.4415646745756,8.5,0.49910529196880643,0.0
miqp,7,3,0.2,706.2324569305541,350.0,238.62325238684173,0.005563738487588909,1294.8612730558834,8.75,0.5007170903734567,0.0
miqp,9,1,0.8,1471.80152136874,570.0,203.17329836279416,0.7988618078299817,2245.7736815393637,14.25,0.4914073649340902,0.0
miqp,8,0,0.8,352.89659626666787,130.0,120.86373680298661,0.1277067957590198,603.8880398654135,3.25,0.49656443996382266,0.0
miqp,10,2,0.8,826.4912002727149,300.0,249.40653590806244,0.008661270362546467,1375.90639745114,7.5,0.4991052919688064,0.0
miqp,11,3,0.8,667.6219859850323,300.0,238.95108944692583,0.005563738487595799,1206.5786391704457,7.5,0.5007170903734571,0.0
reference,0,0,0.5,363.1272983211542,500.0,15.92104210696004,7.308044524633733,886.356384952748,12.5,0.47401090657137956,0.0
reference,1,1,0.5,1467.60736435803,960.0,0.10986328125000369,0.10289974759747689,2427.8201273868776,24.0,0.4969161184210532,0.0
reference,2,2,0.5,819.2638523876443,860.0,12.957325245481725,3.523287262990066,1695.7444648961164,21.5,0.48195468095193855,0.0
reference,3,3,0.5,661.7008805719189,860.0,14.908841182515799,0.09153626959070903,1536.7012580240253,21.5,0.49709137895021493,0.0
reference,4,0,0.2,379.49943654619517,500.0,27.70387902102254,7.3275690302233,914.5308845974411,12.5,0.4739762129036164,0.0
reference,5,1,0.2,1484.2186152883557,960.0,11.672973632812552,0.1986338542169322,2456.0902227753854,24.0,0.4957153320312499,0.0
reference,6,2,0.2,836.0079356809808,870.0,22.532442275428586,3.5848307956271275,1732.1252087520365,21.75,0.48179775863380253,0.0
reference,7,3,0.2,678.7180487385143,860.0,26.691678096578286,0.0937329591692483,1565.503459794262,21.5,0.4970566852824518,0.0
reference,8,0,0.8,348.8095096966248,470.0,26.817482961327077,7.306875768969218,852.9338684269211,11.75,0.4740129848369538,0.0
reference,9,1,0.8,1453.0057594389743,930.0,11.850235795732207,0.1982588681985753,2395.0542541029054,23.25,0.49571937829413976,0.0
reference,10,2,0.8,804.646147576114,830.0,23.717201684124408,3.5529976077417045,1661.9163468679799,20.75,0.48187875652293327,0.0
reference,11,3,0.8,646.8918343533061,830.0,26.36014489914038,0.08702746355029893,1503.3390067159967,20.75,0.49716391853838393,0.0
batched,0,0,0.5,367.9009320980696,140.0,136.1230294607965,0.2990887674425904,644.3230503263087,3.5,0.49474236310303743,0.0
batched,1,1,0.5,1486.723551226115,690.0,138.18455333464775,0.23035535619925873,2315.138459916962,17.25,0.4953858713899296,0.0
batched,2,2,0.5,840.3621806793171,500.0,184.87385221754883,2.5369536824430767,1527.772986579309,12.5,0.48468747512534704,0.0
batched,3,3,0.5,670.2788968057184,490.0,155.74146782095394,0.01834996130273464,1316.038714587975,12.25,0.49869770877447506,0.0
batched,4,0,0.2,385.75182742734347,160.0,141.42102679272807,0.29831236977118253,687.4711665898427,4.0,0.4947491916269342,0.0
batched,5,1,0.2,1502.700549806932,710.0,143.02665988420662,0.2380497445275958,2355.965259435666,17.75,0.49530944321595927,0.0
batched,6,2,0.2,856.6407635925148,520.0,190.2526429329816,2.5369536824430767,1569.4303602079394,13.0,0.48468747512534704,0.0
batched,7,3,0.2,685.7199429767297,510.0,159.70724514353446,0.01834996130273464,1355.4455380815668,12.75,0.49869770877447506,0.0
batched,8,0,0.8,355.0417837696859,130.0,129.30086553843302,0.13247645692290103,614.4751257650418,3.25,0.4965008715105163,0.0
batched,9,1,0.8,1462.1750165787673,670.0,141.4986978407721,0.22454475019242157,2273.8982591697313,16.75,0.4954444376926087,0.0
batched,10,2,0.8,824.0452049650575,490.0,179.1964245344695,2.5369536824430767,1495.7785831819701,12.25,0.48468747512534704,0.0
batched,11,3,0.8,652.0366833123076,480.0,147.24825783223443,0.01834996130273464,1279.3032911058447,12.0,0.49869770877447506,0.0
scalar,0,0,0.5,367.9009320980696,140.0,136.1230294607965,0.2990887674425904,644.3230503263087,3.5,0.49474236310303743,0.0
scalar,1,1,0.5,1486.723551226115,690.0,138.18455333464775,0.23035535619925873,2315.138459916962,17.25,0.4953858713899296,0.0
scalar,2,2,0.5,840.3621806793171,500.0,184.87385221754883,2.5369536824430767,1527.772986579309,12.5,0.48468747512534704,0.0
scalar,3,3,0.5,670.2788968057184,490.0,155.74146782095394,0.01834996130273464,1316.038714587975,12.25,0.49869770877447506,0.0
scalar,4,0,0.2,385.75182742734347,160.0,141.42102679272807,0.29831236977118253,687.4711665898427,4.0,0.4947491916269342,0.0
scalar,5,1,0.2,1502.700549806932,710.0,143.02665988420662,0.2380497445275958,2355.965259435666,17.75,0.49530944321595927,0.0
scalar,6,2,0.2,856.6407635925148,520.0,190.2526429329816,2.5369536824430767,1569.4303602079394,13.0,0.48468747512534704,0.0
scalar,7,3,0.2,685.7199429767297,510.0,159.70724514353446,0.01834996130273464,1355.4455380815668,12.75,0.49869770877447506,0.0
scalar,8,0,0.8,355.0417837696859,130.0,129.30086553843302,0.13247645692290103,614.4751257650418,3.25,0.4965008715105163,0.0
scalar,9,1,0.8,1462.1750165787673,670.0,141.4986978407721,0.22454475019242157,2273.8982591697313,16.75,0.4954444376926087,0.0
scalar,10,2,0.8,824.0452049650575,490.0,179.1964245344695,2.5369536824430767,1495.7785831819701,12.25,0.48468747512534704,0.0
scalar,11,3,0.8,652.0366833123076,480.0,147.24825783223443,0.01834996130273464,1279.3032911058447,12.0,0.49869770877447506,0.0
