fee,scenarios,limit_s,days,mean_cost,learned_cost,rule_cost,primary_miqp_cost,cost_minus_learned,total_simulation_s,mean_solve_s,p95_solve_s,timelimit_fraction,incumbent_fraction,finite_gap_fraction,median_finite_gap_percent,p95_finite_gap_percent,mean_finite_gap_percent
40,8,5,3,1257.5001056958938,1007.8884941176775,955.1609123064377,962.5056141846529,249.6116115782163,1352.5725947,4.630523688888889,4.9805062850000015,0.8993055555555556,1.0,0.8263888888888888,42.31734342327441,4601.684186186644,1184.0193082596943
40,8,60,3,956.3925324871565,1007.8884941176775,955.1609123064377,962.5056141846529,-51.49596163052104,8392.0145715,29.053220357986113,59.93357667000023,0.2743055555555556,1.0,1.0,0.8031045455952124,3.3055768541764223,1.1033619608728849
40,8,300,3,953.92868753445,1007.8884941176775,955.1609123064377,962.5056141846529,-53.95980658322753,18904.5408732,65.53683007881943,299.7100964349993,0.13541666666666666,1.0,1.0,0.7841328144217116,1.7024995000669068,0.8639306458113082
40,16,5,3,1299.886853959616,1007.8884941176775,955.1609123064377,962.5056141846529,291.9983598419385,1407.2415096000002,4.762654570138894,4.97420343999994,0.9722222222222222,1.0,0.3715277777777778,34.07031269720973,1919.156518471652,394.04843747024773
40,16,60,3,1040.4244822203107,1007.8884941176775,955.1609123064377,962.5056141846529,32.535988102633155,14791.2219302,51.20430309513892,59.94904906500028,0.6875,1.0,1.0,1.4627897459574275,34.95499173555371,7.341671689930321
40,16,300,3,957.9504428936375,1007.8884941176775,955.1609123064377,962.5056141846529,-49.93805122404001,53206.3105159,184.5322707479168,300.3289248950001,0.4652777777777778,1.0,1.0,0.9893860547468207,6.163139872914309,1.7752810139712114
80,8,5,3,1789.087512240938,1138.8491818198402,1108.494245639771,1118.6457782688592,650.2383304210978,1362.790174,4.666780653124996,4.980557815000066,0.9340277777777778,1.0,0.8020833333333334,80.01976982606172,6707.9397700270565,1594.6667262641604
80,8,60,3,1104.8197986640607,1138.8491818198402,1108.494245639771,1118.6457782688592,-34.02938315577944,15378.272850399997,53.30498758159725,59.96654571500089,0.8611111111111112,1.0,1.0,1.8039858612678599,4.823937208236597,2.1195283696918548
80,8,300,3,1115.0445920486088,1138.8491818198402,1108.494245639771,1118.6457782688592,-23.80458977123135,73429.1814349,254.79345352256962,299.89158725999914,0.8194444444444444,1.0,1.0,1.5592490405738213,3.644514472435224,1.8460294839913078
80,16,5,3,1927.8304254071936,1138.8491818198402,1108.494245639771,1118.6457782688592,788.9812435873534,1402.8626313,4.746879139236102,4.972471354999743,0.96875,1.0,0.3680555555555556,73.28424351593648,2942.643208944522,606.3839030975726
80,16,60,3,1293.084312369461,1138.8491818198402,1108.494245639771,1118.6457782688592,154.23513054962086,16901.7610613,58.522371420138874,59.948280514999944,0.9756944444444444,1.0,1.0,3.5361382524331955,73.49932537424229,14.118810016612132
80,16,300,3,1113.1164511923332,1138.8491818198402,1108.494245639771,1118.6457782688592,-25.732730627506953,83201.45891799999,288.6981651562502,300.15595148500125,0.9583333333333334,1.0,1.0,2.557251909714875,5.984972081983696,3.0808029237508867
