fee,n_days,n_training_batches,mean_diff,mean_learned,mean_comparator,percent_diff,ci95_low,ci95_high,one_sided_95_upper,one_sided_p,superiority
20,30,1,-13.232088537345657,1258.2264736092236,1271.4585621465694,-1.040701516454164,-17.657571191100622,-9.664972549664505,-10.0676427845463,9.999000099990002e-05,True
40,30,5,30.70907742069946,1489.1358404343334,1458.426763013634,2.105630409390148,21.67075386360451,41.034629407358274,39.37407581006147,1.0,False
80,30,1,25.03993288602936,1769.7049941859927,1744.6650612999629,1.435228654568913,16.941977741997537,34.35785593799841,32.87608015702602,1.0,False
