controller,bill,capacity_fee,degradation_cost,terminal_penalty,common_cost,exceed_hours
learned,872.3150149910225,439.99999999999926,109.09798487356484,0.08340319659250837,1421.4964030611793,11.000000000000009
m2,879.6342943535037,280.00000000000017,188.72678718855008,0.014590602660534836,1348.3756721447146,6.999999999999992
rule,880.4664984590355,250.00000000000028,224.41655196917998,0.26271977585556694,1355.1457702040716,6.249999999999995
