fee,n_days,n_training_batches,mean_diff,mean_learned,mean_comparator,percent_diff,ci95_low,ci95_high,one_sided_95_upper,one_sided_p,superiority
20,30,1,-57.00271631848314,1258.2264736092236,1315.229189927707,-4.334051947373244,-73.53973367629824,-42.71474027418281,-44.52122180503223,9.999000099990002e-05,True
40,30,5,-261.4384307700475,1489.1358404343334,1750.5742712043807,-14.93443809100313,-288.14365874975897,-238.98002142945714,-241.50395737548334,9.999000099990002e-05,True
80,30,1,-854.116382204654,1769.7049941859927,2623.8213763906465,-32.552382943826174,-894.3632992664947,-815.019980319621,-821.1799054282728,9.999000099990002e-05,True
