fee,width,slope,mean_cost,learned_cost,rule_cost,primary_miqp_cost,mean_latency_ms,timelimit_fraction,incumbent_fraction,finite_gap_fraction,median_finite_gap_percent,polish_calls,maximum_polish_kw
20,,0.013680233997041973,1315.229189927707,1258.2264736092236,1271.4585621465694,1243.529299557894,63.23815430555363,0.0,1.0,1.0,0.7432063333612394,0,0.0
40,,0.027360467994083947,1750.5742712043807,1489.1358404343332,1458.426763013634,1456.029470018559,63.90331624999261,0.0,1.0,1.0,0.6240277785882489,0,0.0
80,1000.0,0.08,2623.8213763906465,1769.7049941859927,1744.6650612999629,1746.1032670510988,70.65520843749798,0.0,1.0,1.0,0.7089429297180115,10,1.4255419955588877e-07
